search_id	layer	description	query	english_filtered_query	notes
L1_PMMCC	Layer 1	Broad PM + mucociliary clearance	("Particulate Matter"[Mesh] OR PM2.5 OR "fine particulate matter") AND ("Mucociliary Clearance"[Mesh] OR "mucociliary clearance" OR MCC)	(("Particulate Matter"[Mesh] OR PM2.5 OR "fine particulate matter") AND ("Mucociliary Clearance"[Mesh] OR "mucociliary clearance" OR MCC)) AND english[lang]	Broad endpoint-driven search.
L1_Cfunc	Layer 1	Broad PM + cilia function	("Particulate Matter"[Mesh] OR PM2.5) AND ("Cilia"[Mesh] OR cilia OR ciliogenesis OR "ciliary beat frequency")	(("Particulate Matter"[Mesh] OR PM2.5) AND ("Cilia"[Mesh] OR cilia OR ciliogenesis OR "ciliary beat frequency")) AND english[lang]	Broad endpoint-driven search.
L1_Mucin	Layer 1	Broad PM + mucin/mucus	("Particulate Matter"[Mesh] OR PM2.5) AND ("Mucins"[Mesh] OR MUC5AC OR MUC5B OR mucus)	(("Particulate Matter"[Mesh] OR PM2.5) AND ("Mucins"[Mesh] OR MUC5AC OR MUC5B OR mucus)) AND english[lang]	Broad endpoint-driven search.
L1_CFTR	Layer 1	Broad PM + CFTR/ASL	("Particulate Matter"[Mesh] OR PM2.5) AND ("CFTR protein, human"[Mesh] OR CFTR OR "airway surface liquid")	(("Particulate Matter"[Mesh] OR PM2.5) AND ("CFTR protein, human"[Mesh] OR CFTR OR "airway surface liquid")) AND english[lang]	Broad endpoint-driven search.
L1_LF	Layer 1	Broad PM + lung function	("Particulate Matter"[Mesh] OR PM2.5) AND ("Pulmonary Function Tests"[Mesh] OR "lung function" OR spirometry OR FEV1 OR FVC)	(("Particulate Matter"[Mesh] OR PM2.5) AND ("Pulmonary Function Tests"[Mesh] OR "lung function" OR spirometry OR FEV1 OR FVC)) AND english[lang]	Broad endpoint-driven search.
L2_EGFR	Layer 2	PM + EGFR	("Particulate Matter"[Mesh] OR PM2.5) AND ("Receptor, Epidermal Growth Factor"[Mesh] OR EGFR)	(("Particulate Matter"[Mesh] OR PM2.5) AND ("Receptor, Epidermal Growth Factor"[Mesh] OR EGFR)) AND english[lang]	Mechanistic search.
L2_OxStress	Layer 2	PM + oxidative stress	("Particulate Matter"[Mesh] OR PM2.5) AND ("Oxidative Stress"[Mesh] OR ROS OR "reactive oxygen species")	(("Particulate Matter"[Mesh] OR PM2.5) AND ("Oxidative Stress"[Mesh] OR ROS OR "reactive oxygen species")) AND english[lang]	Mechanistic search.
L2_FoxJ	Layer 2	PM + FOXJ1	("Particulate Matter"[Mesh] OR PM2.5) AND (FoxJ1 OR FOXJ1)	(("Particulate Matter"[Mesh] OR PM2.5) AND (FoxJ1 OR FOXJ1)) AND english[lang]	Mechanistic search.
L2_GobCell	Layer 2	PM + goblet cells	("Particulate Matter"[Mesh] OR PM2.5) AND ("Goblet Cells"[Mesh] OR "goblet cell" OR "goblet cells")	(("Particulate Matter"[Mesh] OR PM2.5) AND ("Goblet Cells"[Mesh] OR "goblet cell" OR "goblet cells")) AND english[lang]	Mechanistic search; expanded wildcard to explicit terms for clarity.
L2_ENaC	Layer 2	PM + ENaC	("Particulate Matter"[Mesh] OR PM2.5) AND (ENaC OR "epithelial sodium channel")	(("Particulate Matter"[Mesh] OR PM2.5) AND (ENaC OR "epithelial sodium channel")) AND english[lang]	Mechanistic search.
L2_Anion	Layer 2	PM + anion secretion	("Particulate Matter"[Mesh] OR PM2.5) AND ("anion secretion" OR "chloride secretion" OR "short circuit current" OR "short-circuit current")	(("Particulate Matter"[Mesh] OR PM2.5) AND ("anion secretion" OR "chloride secretion" OR "short circuit current" OR "short-circuit current")) AND english[lang]	Mechanistic search.
L3_ASLFun	Layer 3	ASL measurement methods	("airway surface liquid" OR ASL) AND ("confocal microscopy" OR "laser reflectance microscopy" OR "fluorescence imaging")	(("airway surface liquid" OR ASL) AND ("confocal microscopy" OR "laser reflectance microscopy" OR "fluorescence imaging")) AND english[lang]	Measurement-centered search.
